<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	00:00:00	1150.63	1152.41	1149.30	1150.37	1634	0	0
2017.01.03	00:00:00	1150.28	1164.16	1146.10	1157.24	62370	0	0
2017.01.03	01:00:00	1150.29	1151.65	1149.65	1150.76	2409	0	0
2017.01.03	02:00:00	1150.67	1156.78	1150.37	1156.10	2722	0	0
2017.01.03	03:00:00	1156.10	1158.64	1154.91	1157.16	2071	0	0
2017.01.03	04:00:00	1157.17	1157.35	1155.98	1156.87	725	0	0
2017.01.03	05:00:00	1156.87	1157.48	1156.73	1157.34	1046	0	0
2017.01.03	06:00:00	1157.34	1157.98	1156.68	1157.78	1358	0	0
2017.01.03	07:00:00	1157.79	1158.64	1157.05	1157.46	1294	0	0
2017.01.03	08:00:00	1157.37	1157.47	1152.17	1153.04	3029	0	0
2017.01.03	09:00:00	1153.06	1154.39	1150.49	1151.49	5289	0	0
2017.01.03	10:00:00	1151.52	1151.91	1147.58	1148.12	4864	0	0
2017.01.03	11:00:00	1148.13	1148.56	1146.64	1146.76	3068	0	0
2017.01.03	12:00:00	1146.76	1148.72	1146.00	1148.51	4057	0	0
2017.01.03	13:00:00	1148.53	1149.00	1147.17	1148.63	2604	0	0
2017.01.03	14:00:00	1148.67	1151.28	1148.46	1150.59	4708	0	0
2017.01.03	15:00:00	1150.61	1155.51	1146.66	1153.73	7003	0	0
2017.01.03	16:00:00	1153.78	1155.90	1147.79	1154.85	9749	0	0
2017.01.03	17:00:00	1154.85	1164.54	1153.41	1160.35	9318	0	0
2017.01.03	18:00:00	1160.27	1162.87	1158.61	1162.00	3810	0	0
2017.01.03	19:00:00	1162.05	1163.49	1159.26	1159.37	3649	0	0
2017.01.03	20:00:00	1159.31	1160.29	1158.89	1159.05	1957	0	0
2017.01.03	21:00:00	1159.15	1159.58	1156.69	1159.20	2534	0	0
2017.01.03	22:00:00	1159.25	1159.76	1158.05	1158.77	1069	0	0
2017.01.04	00:00:00	1157.20	1168.05	1156.16	1165.96	62638	0	0
2017.01.04	01:00:00	1157.10	1158.26	1156.15	1156.94	2231	0	0
2017.01.04	02:00:00	1156.95	1158.51	1156.07	1157.41	2303	0	0
2017.01.04	03:00:00	1157.41	1160.76	1157.41	1160.72	2863	0	0
2017.01.04	04:00:00	1160.77	1161.46	1159.27	1161.05	3230	0	0
2017.01.04	05:00:00	1161.16	1161.61	1159.97	1160.11	1899	0	0
2017.01.04	06:00:00	1160.03	1161.59	1159.70	1161.51	1106	0	0
2017.01.04	07:00:00	1161.50	1163.27	1160.90	1162.22	2443	0	0
2017.01.04	08:00:00	1162.26	1163.15	1161.15	1161.47	2543	0	0
2017.01.04	09:00:00	1161.44	1164.34	1160.71	1163.17	6284	0	0
2017.01.04	10:00:00	1163.17	1167.87	1163.02	1165.38	4263	0	0
2017.01.04	11:00:00	1165.43	1166.28	1164.51	1165.29	3077	0	0
2017.01.04	12:00:00	1165.29	1167.54	1164.90	1165.44	4404	0	0
2017.01.04	13:00:00	1165.47	1166.34	1163.92	1165.45	3234	0	0
2017.01.04	14:00:00	1165.45	1167.80	1162.94	1164.14	7185	0	0
2017.01.04	15:00:00	1164.14	1165.80	1162.04	1165.02	7587	0	0
2017.01.04	16:00:00	1165.12	1166.46	1163.47	1165.39	6574	0	0
2017.01.04	17:00:00	1165.47	1165.57	1163.15	1165.04	4005	0	0
2017.01.04	18:00:00	1164.93	1167.27	1164.63	1164.85	1708	0	0
2017.01.04	19:00:00	1164.75	1165.99	1163.80	1163.99	1750	0	0
2017.01.04	20:00:00	1163.97	1166.65	1160.63	1162.61	5201	0	0
2017.01.04	21:00:00	1162.70	1164.22	1162.47	1163.44	2894	0	0
2017.01.04	22:00:00	1163.44	1164.30	1162.49	1162.78	1087	0	0
2017.01.05	00:00:00	1165.96	1184.97	1165.90	1180.80	86480	0	0
2017.01.05	01:00:00	1165.82	1172.43	1165.79	1171.52	5492	0	0
2017.01.05	02:00:00	1171.52	1172.84	1169.98	1171.18	3893	0	0
2017.01.05	03:00:00	1171.09	1172.84	1170.78	1172.31	2901	0	0
2017.01.05	04:00:00	1172.31	1174.19	1172.26	1173.31	2344	0	0
2017.01.05	05:00:00	1173.31	1173.74	1172.94	1173.45	1400	0	0
2017.01.05	06:00:00	1173.44	1177.60	1173.29	1174.98	4462	0	0
2017.01.05	07:00:00	1174.98	1178.93	1174.32	1178.32	3782	0	0
2017.01.05	08:00:00	1178.43	1178.75	1176.44	1177.47	4357	0	0
2017.01.05	09:00:00	1177.38	1179.28	1171.77	1173.48	8045	0	0
2017.01.05	10:00:00	1173.48	1174.20	1170.46	1172.83	6532	0	0
2017.01.05	11:00:00	1172.76	1173.63	1170.95	1171.23	4558	0	0
2017.01.05	12:00:00	1171.23	1172.83	1170.42	1171.72	3810	0	0
2017.01.05	13:00:00	1171.70	1174.38	1170.72	1172.79	3547	0	0
2017.01.05	14:00:00	1172.89	1176.60	1171.23	1175.41	9525	0	0
2017.01.05	15:00:00	1175.40	1178.95	1175.08	1176.85	7971	0	0
2017.01.05	16:00:00	1176.89	1182.10	1175.98	1181.35	8424	0	0
2017.01.05	17:00:00	1181.25	1184.91	1180.79	1182.41	7719	0	0
2017.01.05	18:00:00	1182.40	1183.41	1181.81	1182.03	3372	0	0
2017.01.05	19:00:00	1182.00	1182.23	1179.72	1181.64	2577	0	0
2017.01.05	20:00:00	1181.74	1182.02	1179.63	1180.78	2196	0	0
2017.01.05	21:00:00	1180.78	1181.29	1179.86	1181.05	2146	0	0
2017.01.05	22:00:00	1181.06	1181.08	1179.78	1180.13	1078	0	0
2017.01.06	00:00:00	1180.88	1182.90	1170.88	1172.42	71083	0	0
2017.01.06	01:00:00	1180.71	1181.31	1178.22	1178.54	2305	0	0
2017.01.06	02:00:00	1178.58	1179.11	1176.65	1177.50	3126	0	0
2017.01.06	03:00:00	1177.51	1179.21	1176.58	1178.69	1905	0	0
